Participant,Treatment,Result
9546,After,97
9546,Before,90
7647,After,90
7647,Before,85
6593,After,93
6593,Before,82
5825,After,88
5825,Before,87
4978,Before,81
4978,After,84
4781,After,95
4781,Before,88
3465,Before,92
3465,After,95
3334,Before,79
3334,After,80
2849,Before,79
2849,After,82
1234,Before,90
1234,After,95
6579,Before,81
6579,After,86
2231,Before,74
2231,After,74
6499,Before,89
6499,After,89
8888,Before,69
8888,After,74
4163,Before,92
4163,After,93
4679,Before,81
4679,After,89
2569,Before,79
2569,After,91
1491,Before,75
1491,After,76
7263,Before,75
7263,After,74
8914,Before,86
8914,After,82
