c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12
18.10567514,18.86732889,17.67973196,17.63772547,16.30875229,15.24615891,15.20521722,14.21031683,19.30886797,16.42463929,18.96942631,21.32508309
16.42352863,17.75002469,18.53767361,15.06090202,18.76774434,19.05618923,18.92069714,17.71621009,18.28514327,17.43179223,17.83506399,21.02875412
16.65821397,18.01031269,16.49362948,18.17629094,18.43741531,16.56305455,17.69473855,15.45470712,16.14070155,20.48325007,14.72722303,16.04994774
18.41570766,19.2598847,22.54322598,16.92283442,18.3777766,20.8211181,18.86583296,16.62283489,17.75184832,17.88927926,19.36512144,20.8734271
19.62226813,18.17008181,20.47513694,20.07180125,15.92605724,18.23129077,16.72998784,17.26535346,19.05751749,18.89880015,20.1050383,18.76091167
19.63114441,15.40530861,16.28989761,16.21860755,16.90984129,16.58258266,19.29368466,17.79737533,17.07853677,16.93875013,17.40125641,17.06392361
17.97982017,17.95229781,18.57212251,16.14360273,17.82166554,17.63344232,20.66129955,18.56285917,16.93643729,16.55145309,19.62639218,18.04655543
17.2152168,15.40831461,17.34547041,14.81054018,15.71758789,15.51557922,17.43730707,17.59144354,18.94323708,17.40052061,16.03160796,15.86106633
19.89481273,18.31449072,16.44713541,15.90201825,16.69703082,16.41094489,16.64812213,15.65495236,17.39248757,15.84280539,16.59077663,16.72699365
17.69284847,16.59940124,14.94713645,20.0658516,15.22511063,17.40426905,17.02554537,23.40841706,18.83670958,14.55110326,16.11006457,17.77492011
20.39811365,18.29230891,16.47565861,18.95632314,16.21253368,17.77003713,17.63469315,20.43915863,21.63574782,18.79729639,18.53938354,21.61747269
18.27836863,18.57955398,19.11431056,18.65457582,18.57791643,20.01739322,19.58145353,17.34648351,18.9298141,18.08405926,20.70524066,17.96602162
16.31775977,16.26388186,15.11823719,16.24534792,18.17957438,17.05113161,17.5767085,17.17842077,17.24490199,19.01285294,17.88377208,18.08925869
17.14455793,17.95584727,19.95592637,17.15486732,17.99746135,17.98004414,18.24634867,20.51955223,15.99768897,17.57587956,18.85590468,19.43382338
17.03704046,18.73223363,18.93540244,18.15100362,16.78466855,15.56384501,18.04043342,19.45211951,18.9606698,18.68779974,20.03756627,19.04003045
17.95262669,18.76276364,18.52332651,19.4382874,17.79127928,20.80814494,16.8061119,15.18930408,17.78517816,18.13138511,16.89277252,17.60144753
17.49390763,19.04610209,18.66747915,16.37092113,18.82739192,18.79661967,19.9236064,16.72250702,16.33007067,15.34162352,15.5027801,20.23232899
15.04101341,17.30425418,17.69027899,17.76635999,16.751113,20.48783995,17.00709664,18.12136321,18.86337612,17.98638787,17.17360949,18.16547284
17.22171344,17.56187263,16.38713811,18.2019158,18.5546084,18.3713111,18.09806478,16.27973257,17.0113483,16.46975329,15.68768037,17.76286635
17.60088046,16.79557965,15.17844126,17.43909711,18.06114147,14.34525055,17.75402021,17.66718405,19.40769473,16.91216024,18.10387857,18.94253522
17.38899671,20.66825769,15.38798804,17.17214919,19.74878768,17.75435892,17.12798567,15.99102342,18.10542369,18.862785,15.61557325,16.19572648
16.74403307,19.2645648,19.57018317,17.05038193,18.24989084,17.03611693,15.81635212,16.96066026,18.48163305,18.97795969,20.15997124,20.54144084
17.3157243,20.50069799,16.17767397,17.70631138,20.7725912,17.73269857,16.6584541,11.96362128,14.48652422,18.17072418,16.53071449,15.77548589
18.47505451,19.4459759,19.50625554,17.95494257,17.64887777,20.24548063,18.02504172,20.35392758,19.11989391,17.97028277,20.80074027,20.86928284
19.85824054,19.94415896,20.30875342,18.18864036,15.18607223,22.09119315,18.82565374,17.95798165,19.69405921,20.26804881,19.0719051,21.67901561
18.52985653,18.79842602,18.04963377,17.1716153,17.72796239,17.38695075,19.30830999,20.60726856,18.1285211,18.98105781,17.38717005,18.34908503
18.15026217,17.57506236,15.23396944,19.9847175,20.59350242,18.13732818,19.40955629,18.95419642,17.75992635,18.42079874,17.61131628,16.32044047
16.06691794,19.14690749,20.49039129,17.39676365,22.73906355,21.05510691,20.53849302,19.75049887,18.39084582,18.06286111,20.69806371,20.68114971
17.77051077,22.12659236,15.96647961,17.27818441,19.77815291,19.39918152,17.82337784,17.06741691,17.97564532,17.18869266,16.93255438,17.48416563
16.10512617,17.0472646,14.97081829,16.90014654,17.49853699,16.49452818,16.54004351,15.65093749,16.99073224,17.49835859,15.7385828,16.86907615
17.32874558,18.71835514,17.30671785,16.18734903,17.23486726,13.56122697,18.236872,17.32224056,16.64233135,18.56327447,17.70698153,17.6489762
19.56922663,17.48783054,17.77247593,18.63913503,16.44079763,14.82586642,18.3923553,17.47356851,16.51666716,19.35981433,16.57069561,17.09092909
18.66723971,18.90564928,19.13034933,19.87565891,18.6008684,17.0631845,17.72529929,18.50827983,17.54972127,19.43647785,20.23292829,20.78863931
18.62932373,16.70188024,17.41408163,17.06840598,16.58887717,16.65851332,18.07918976,19.69316144,19.01711925,18.80194227,18.88231012,19.39391319
19.77136202,20.2574235,20.64083052,20.790364,18.2822037,18.1467728,19.06291732,19.90318855,20.05401747,17.3339456,19.25482676,19.05706349
19.18313413,17.59278311,19.19370837,19.29613979,16.53059132,19.71923724,20.30770382,19.43564917,18.7469402,20.8168179,19.55302358,21.80453502
20.18122468,18.27962244,17.20442392,16.75335319,17.70609581,17.93678436,20.19095505,14.75381878,15.81829816,18.60670635,16.74352413,17.3482494
18.05297658,20.16358865,20.1247526,16.31899385,17.62942674,19.88222989,19.88481362,19.95147892,17.18865647,18.43690562,16.87631521,20.04214896
17.23591137,21.23496075,18.98524646,18.28864208,21.77353255,18.83092807,17.99803892,16.91707567,16.55586829,16.84234386,17.55440274,17.29687585
24.18366339,19.29441729,19.67982529,19.70114565,17.68958039,21.5922326,21.37232953,21.17134634,22.51830956,21.17124735,19.32751436,20.2961808
17.41742352,16.96637795,16.12778259,19.03105687,19.0486915,17.27164205,19.04066435,16.9757722,16.92176864,17.79077445,18.15959712,18.61513096
19.14204358,18.64670894,16.10880062,17.2107658,19.16933665,18.57562323,16.97328495,16.70073684,18.20616658,17.23287301,18.99122796,18.49778985
17.5406164,20.65487036,19.98682279,17.20805011,22.20963791,17.75719878,17.02644789,12.29767601,15.06669368,17.48485093,16.73087379,17.19211344
17.4755214,16.29710803,18.07256825,16.98417684,15.52141348,16.46532878,17.01474604,17.08205822,19.04271441,15.99568784,18.20804351,17.67531551
18.53560403,17.5562005,18.69128023,18.0327944,13.98642327,16.85734793,16.20675161,17.43243755,19.37660823,21.19383156,19.64039582,17.69201612
20.56247561,21.08777084,19.10961467,20.16656034,18.89752834,20.31871549,18.69519306,20.88727055,20.09927134,18.23841588,17.41785506,18.41526253
18.34068295,17.83477119,19.71015137,17.87975853,18.72171445,19.81869467,20.63879846,20.0748618,19.13900736,18.4274889,19.63105083,19.29240196
19.03984729,18.48177149,17.26737181,17.73250654,19.28850503,20.23090963,19.14399126,17.633839,20.211521,18.59641032,19.16239665,19.13118184
18.10720929,17.50940061,17.44700317,19.49282402,19.25498582,20.22317706,19.08353814,18.76447969,19.20237986,18.03169003,19.87395855,17.54311145
18.13403205,18.11720383,17.16222314,18.72704822,18.51914548,19.01398189,17.98067572,17.56961525,19.2639201,19.46144164,19.83505187,18.28499687
16.96773799,17.69686762,17.98201343,18.84033844,20.85636743,20.98015068,19.44073232,17.12175107,16.34618007,18.59165384,16.85950041,17.50928262
18.35042358,18.15642028,16.15314874,20.22856901,17.09842453,16.38227497,16.53271861,19.98733637,18.98263965,16.21215786,19.71179923,18.82615896
17.40484873,18.66688569,17.81940461,19.31106617,18.72884448,18.73457802,17.19651117,15.49099574,17.56669828,19.21903587,18.52197764,17.96779903
