NAME	STUSAB	FIPS	YCOORD	XCOORD	SQYCORD	SQXCORD	XYCOORD	PPOV	PHSP	PFHH	PWKCO	PHSLS	PUNEM	PUDEM	PEXTR	PPSRV	PMSRV	PNDMFG	PNHSPW	PMNRTY	LO_POV	PFRN	PNAT	PBLK	P65UP	PDSABL	METRO	PERPOV	OTMIG	SQOTMIG	BINMIG	INCARC	BINCARC	SQRTPPOV	SQRTUNEM	SQRTPFHH	LOGHSPLS	PHSPLUS
Autauga_AL	AL	1001	-785370	834819	616806422840	696922868710	-655642052986	0.1372	0.0140	0.1916	0.3974	0.5597	0.0488	0.1701	0.0230	0.3821	0.1168	0.0850	0.7974	0.2026	-1.8388	0.0117	0.0044	0.1711	0.1019	0.2540	1	0	0.1815	0.4260	0.0063	0.0067	0.0209	0.3704	0.2210	0.4377	-0.8203	0.4403
Baldwin_AL	AL	1003	-994376	757020	988783451872	573079606954	-752762666424	0.1341	0.0176	0.1868	0.7266	0.4912	0.0428	0.1831	0.0185	0.3487	0.1445	0.0410	0.8608	0.1392	-1.8651	0.0211	0.0058	0.1029	0.1546	0.2528	0	0	0.1231	0.3508	0.0072	0.0202	0.1166	0.3662	0.2068	0.4322	-0.6757	0.5088
Barbour_AL	AL	1005	-846429	954380	716441240470	910840511936	-807814153281	0.3725	0.0165	0.3379	0.8351	0.6887	0.0566	0.2183	0.0417	0.2735	0.0970	0.1450	0.5093	0.4907	-0.5215	0.0150	0.0045	0.4632	0.1334	0.3190	0	1	0.1643	0.4053	0.0011	0.2505	0.3414	0.6103	0.2380	0.5813	-1.1671	0.3113
Bibb_AL	AL	1007	-738519	786798	545409889949	619050768779	-581064894545	0.2811	0.0101	0.1977	0.4062	0.7286	0.0624	0.2052	0.0561	0.2965	0.0889	0.0712	0.7620	0.2380	-0.9391	0.0043	0.0024	0.2220	0.1159	0.2954	1	1	0.1392	0.3731	0.0034	0.1267	0.3552	0.5302	0.2498	0.4447	-1.3041	0.2714
Blount_AL	AL	1009	-625174	824898	390842827439	680456814579	-515705017777	0.1353	0.0533	0.1220	0.4029	0.6522	0.0485	0.1593	0.0307	0.3137	0.0848	0.0855	0.9211	0.0789	-1.8552	0.0310	0.0049	0.0119	0.1285	0.2860	1	0	0.1374	0.3706	0.4610	0.0067	0.0361	0.3678	0.2202	0.3493	-1.0560	0.3478
Bullock_AL	AL	1011	-824310	922599	679487623772	851188195798	-760507622937	0.4500	0.0275	0.5172	0.6614	0.7560	0.0856	0.2351	0.1046	0.3313	0.0892	0.1779	0.2360	0.7640	-0.2007	0.0306	0.0038	0.7311	0.1317	0.3442	0	1	0.1596	0.3995	0.0018	0.3440	0.3456	0.6708	0.2925	0.7192	-1.4107	0.2440
Butler_AL	AL	1013	-872040	840361	760454113595	706206075704	-732828298659	0.3161	0.0067	0.3304	0.7243	0.6736	0.1063	0.2140	0.0522	0.2830	0.1168	0.1008	0.5808	0.4192	-0.7719	0.0036	0.0021	0.4081	0.1638	0.3432	0	1	0.1145	0.3384	0.0022	0.0054	0.0113	0.5622	0.3260	0.5748	-1.1196	0.3264
Calhoun_AL	AL	1015	-641271	892070	411229122076	795788627054	-572058964148	0.2301	0.0156	0.2422	0.8447	0.5741	0.0659	0.1994	0.0087	0.3561	0.1164	0.0755	0.7804	0.2196	-1.2080	0.0170	0.0040	0.1854	0.1414	0.2793	1	0	0.1715	0.4142	0.0119	0.0087	0.0301	0.4796	0.2566	0.4921	-0.8536	0.4259
Chambers_AL	AL	1017	-731328	941001	534840467259	885482656543	-688180178279	0.2272	0.0077	0.3093	0.5995	0.6819	0.0652	0.1759	0.0154	0.2644	0.0942	0.2878	0.6044	0.3956	-1.2242	0.0080	0.0013	0.3811	0.1620	0.3162	0	0	0.1372	0.3704	0.0003	0.0149	0.0301	0.4767	0.2553	0.5561	-1.1454	0.3181
Cherokee_AL	AL	1019	-594505	906364	353436422025	821495290593	-538837968426	0.2126	0.0085	0.1490	0.4639	0.7148	0.0387	0.1671	0.0363	0.2417	0.0708	0.2620	0.9240	0.0760	-1.3091	0.0108	0.0031	0.0554	0.1592	0.2901	0	0	0.1345	0.3667	0.0065	0.0089	0.0277	0.4611	0.1968	0.3860	-1.2546	0.2852
Chilton_AL	AL	1021	-751549	824511	564825569612	679818115713	-619660112030	0.1987	0.0291	0.1711	0.4732	0.6993	0.0430	0.1667	0.0339	0.2999	0.1018	0.0461	0.8561	0.1439	-1.3946	0.0189	0.0028	0.1061	0.1287	0.2787	1	0	0.1003	0.3167	0.0402	0.0103	0.0503	0.4457	0.2074	0.4136	-1.2016	0.3007
