cyear,ccode,scode,country,year,flag,fragment,democ,autoc,polity,polity2,durable,xrreg,xrcomp,xropen,xconst,parreg,parcomp,exrec,exconst,polcomp,prior,emonth,eday,eyear,eprec,interim,bmonth,bday,byear,bprec,post,change,d4,sf,regtrans
7002008,700,AFG,Afghanistan,2008,0,2,-66,-66,-66,,0,-66,-66,-66,-66,-66,-66,-66,-66,-66,,,,,,-66,,,,,,-66,,,-66
3392008,339,ALB,Albania,2008,2,0,9,0,9,9,11,3,3,4,7,2,4,8,7,9,,,,,,,,,,,,,,,
6152008,615,ALG,Algeria,2008,2,0,3,1,2,2,4,2,0,0,5,3,3,5,5,6,,,,,,,,,,,,,,,
5402008,540,ANG,Angola,2008,1,0,2,4,-2,-2,11,2,1,4,3,3,4,3,3,8,,,,,,,,,,,,,,,
1602008,160,ARG,Argentina,2008,0,0,8,0,8,8,25,3,3,4,6,2,4,8,6,9,,,,,,,,,,,,,,,
3712008,371,ARM,Armenia,2008,1,0,5,0,5,5,10,2,2,4,5,2,3,7,5,7,,,,,,,,,,,,,,,
9002008,900,AUL,Australia,2008,0,0,10,0,10,10,107,3,3,4,7,5,5,8,7,10,,,,,,,,,,,,,,,
3052008,305,AUS,Austria,2008,0,0,10,0,10,10,62,3,3,4,7,5,5,8,7,10,,,,,,,,,,,,,,,
3732008,373,AZE,Azerbaijan,2008,0,2,0,7,-7,-7,13,2,1,4,2,4,2,3,2,2,,,,,,,,,,,,,,,
6922008,692,BAH,Bahrain,2008,1,0,0,7,-7,-7,33,3,1,1,2,3,2,1,2,3,,,,,,,,,,,,,,,
2112008,211,BEL,Belgium,2008,1,0,8,0,8,8,64,3,3,4,7,2,3,8,7,7,,,,,,,,,,,,,,,
4342008,434,BEN,Benin,2008,1,0,7,0,7,7,17,3,3,4,5,2,4,8,5,9,,,,,,,,,,,,,,,
4392008,439,BFO,Burkina Faso,2008,0,0,2,2,0,0,7,2,0,0,3,3,4,5,3,8,,,,,,,,,,,,,,,
7602008,760,BHU,Bhutan,2008,2,0,3,0,3,3,0,3,2,3,4,2,0,6,4,5,-6,5,7,2008,1,,5,8,2008,1,3,9,1,,3
3702008,370,BLR,Belarus,2008,1,0,0,7,-7,-7,12,2,1,4,2,4,2,3,2,2,,,,,,,,,,,,,,,
7712008,771,BNG,Bangladesh,2008,2,0,0,6,-6,-6,1,2,1,4,2,3,2,3,2,3,,,,,,,,,,,,,,,
1452008,145,BOL,Bolivia,2008,1,0,8,0,8,8,26,3,3,4,7,2,3,8,7,7,,,,,,,,,,,,,,,
3462008,346,BOS,Bosnia,2008,0,3,-66,-66,-66,,0,-66,-66,-66,-66,-66,-66,-66,-66,-66,,,,,,-66,,,,,,-66,,,-66
5712008,571,BOT,Botswana,2008,0,0,8,0,8,8,42,2,2,4,7,2,4,7,7,9,,,,,,,,,,,,,,,
1402008,140,BRA,Brazil,2008,0,0,8,0,8,8,23,3,3,4,6,2,4,8,6,9,,,,,,,,,,,,,,,
5162008,516,BUI,Burundi,2008,2,0,7,1,6,6,3,2,2,4,6,3,4,7,6,8,,,,,,,,,,,,,,,
3552008,355,BUL,Bulgaria,2008,0,0,9,0,9,9,18,3,3,4,7,2,4,8,7,9,,,,,,,,,,,,,,,
8112008,811,CAM,Cambodia,2008,0,0,3,1,2,2,10,2,0,0,4,3,4,5,4,8,,,,,,,,,,,,,,,
202008,20,CAN,Canada,2008,0,0,10,0,10,10,120,3,3,4,7,5,5,8,7,10,,,,,,,,,,,,,,,
4712008,471,CAO,Cameroon,2008,0,0,1,5,-4,-4,16,2,1,4,2,3,3,3,2,6,,,,,,,,,,,,,,,
4822008,482,CEN,Central African Republic,2008,2,0,1,2,-1,-1,5,2,0,0,3,3,3,5,3,6,,,,,,,,,,,,,,,
4832008,483,CHA,Chad,2008,0,0,1,3,-2,-2,16,2,0,0,2,3,3,5,2,6,,,,,,,,,,,,,,,
1552008,155,CHL,Chile,2008,0,0,10,0,10,10,19,3,3,4,7,5,5,8,7,10,,,,,,,,,,,,,,,
7102008,710,CHN,China,2008,0,0,0,7,-7,-7,59,2,1,4,3,4,1,3,3,1,,,,,,,,,,,,,,,
1002008,100,COL,Colombia,2008,0,3,7,0,7,7,51,3,3,4,6,2,3,8,6,7,,,,,,,,,,,,,,,
5812008,581,COM,Comoros,2008,2,0,9,0,9,9,2,3,3,4,7,2,4,8,7,9,,,,,,,,,,,,,,,
4842008,484,CON,Congo Brazzaville,2008,0,0,0,4,-4,-4,11,2,0,0,2,3,2,5,2,3,,,,,,,,,
942008,94,COS,Costa Rica,2008,0,0,10,0,10,10,89,3,3,4,7,5,5,8,7,10,,,,,,,,,
3442008,344,CRO,Croatia,2008,0,0,9,0,9,9,8,3,3,4,7,2,4,8,7,9,,,,,,,,,
