"","tree.ID","forest","habitat","dbh.in","height.ft","age"
"1",1,4,5,14.6,71.4,55
"2",1,4,5,12.4,61.4,45
"3",1,4,5,8.8,40.1,35
"4",1,4,5,7,28.6,25
"5",1,4,5,4,19.6,15
"6",2,4,5,20,103.4,107
"7",2,4,5,18.8,92.2,97
"8",2,4,5,17,80.8,87
"9",2,4,5,15.9,76.2,77
"10",2,4,5,14,70.7,67
"11",2,4,5,11.7,56.6,57
"12",2,4,5,10.6,43,47
"13",2,4,5,8,35.6,37
"14",2,4,5,6.2,29.3,27
"15",2,4,5,3.4,16.2,17
"16",3,4,3,29.2,158.3,130
"17",3,4,3,28.1,138.9,120
"18",3,4,3,27,132,110
"19",3,4,3,26.1,125.1,100
"20",3,4,3,24.9,119.1,90
"21",3,4,3,22.3,109.3,80
"22",3,4,3,21.5,103.8,70
"23",3,4,3,19.1,94.7,60
"24",3,4,3,17.3,87.5,50
"25",3,4,3,14.5,74.7,40
"26",3,4,3,9.9,57,30
"27",3,4,3,4.6,38.1,20
"28",4,3,1,18.4,108.4,83
"29",4,3,1,17.2,100.8,73
"30",4,3,1,15.6,93.7,63
"31",4,3,1,13.7,85.8,53
"32",4,3,1,11.6,72.5,43
"33",4,3,1,8.5,50.4,33
"34",4,3,1,5.3,27.6,23
"35",4,3,1,2.8,17.8,13
"36",5,3,1,13.3,86,64
"37",5,3,1,10.6,66.7,54
"38",5,3,1,7.2,46.5,44
"39",5,3,1,4.8,32.7,34
"40",5,3,1,3.1,20.2,24
"41",5,3,1,1.3,8.8,14
"42",6,1,1,19.9,122,92
"43",6,1,1,18.6,113.5,82
"44",6,1,1,16.2,103.9,72
"45",6,1,1,14.2,97.4,62
"46",6,1,1,12.3,91.5,52
"47",6,1,1,9.4,82.6,42
"48",6,1,1,6.8,66.7,32
"49",6,1,1,4.9,40,22
"50",6,1,1,2.6,18.5,12
"51",7,1,1,22,132.4,72
"52",7,1,1,19.5,121.7,62
"53",7,1,1,16.8,111.5,52
"54",7,1,1,14,102.7,42
"55",7,1,1,10.5,88.5,32
"56",7,1,1,6.5,60.5,22
"57",7,1,1,3,27.2,12
"58",11,2,4,16.5,88.7,122
"59",11,2,4,15.5,83.4,112
"60",11,2,4,14.5,78.3,102
"61",11,2,4,13.7,74.5,92
"62",11,2,4,12.7,69.7,82
"63",11,2,4,11.4,65.7,72
"64",11,2,4,9.5,62.5,62
"65",11,2,4,8,58,52
"66",11,2,4,5.9,45.4,42
"67",11,2,4,4.1,29.8,32
"68",11,2,4,2.6,18.1,22
"69",12,2,4,19.6,102.4,97
"70",12,2,4,17.8,95.1,87
"71",12,2,4,15.8,86.3,77
"72",12,2,4,14,79.7,67
"73",12,2,4,12.9,72,57
"74",12,2,4,9.7,52.4,47
"75",12,2,4,7.3,37.4,37
"76",12,2,4,4.8,25.1,27
"77",12,2,4,3,13.8,17
"78",13,2,4,17.6,103.7,90
"79",13,2,4,16.1,95.3,80
"80",13,2,4,14.3,86,70
"81",13,2,4,12.2,72,60
"82",13,2,4,9.7,52.5,50
"83",13,2,4,6.6,33.1,40
"84",13,2,4,4.5,24.2,30
"85",13,2,4,2.6,18.8,20
"86",15,3,1,10.4,79.9,57
"87",15,3,1,9.4,70,47
"88",15,3,1,7.3,60,37
"89",15,3,1,6,48,27
"90",15,3,1,4.1,34.5,17
"91",17,4,3,24,113,127
"92",17,4,3,22.3,107.9,117
"93",17,4,3,20.6,103.2,107
"94",17,4,3,19.1,98.3,97
"95",17,4,3,17.7,93.8,87
"96",17,4,3,15.7,84.5,77
"97",17,4,3,14,80.2,67
"98",17,4,3,12.3,75.1,57
"99",17,4,3,11.5,71.9,47
"100",17,4,3,9.5,63.1,37
"101",17,4,3,7.1,47.2,27
"102",17,4,3,4.4,28.5,17
"103",18,4,3,10.8,81.8,46
"104",18,4,3,8,61.2,36
"105",18,4,3,4.7,34.6,26
"106",18,4,3,2.5,15.1,16
"107",19,2,1,26.7,149.8,172
"108",19,2,1,25.4,144.6,162
"109",19,2,1,24.3,138.6,152
"110",19,2,1,23.2,131.8,142
"111",19,2,1,22.1,126.2,132
"112",19,2,1,19.3,118.6,122
"113",19,2,1,17.5,112.1,112
"114",19,2,1,15.7,104.8,102
"115",19,2,1,13.4,93,92
"116",19,2,1,11.7,80.9,82
"117",28,5,3,28,169.5,123
"118",28,5,3,27.2,162.6,113
"119",28,5,3,26.1,155,103
"120",28,5,3,25,150,93
"121",28,5,3,23.7,141.6,83
"122",28,5,3,21.3,127.1,73
"123",28,5,3,19,118.7,63
"124",28,5,3,16.7,103.7,53
"125",28,5,3,12.2,90.8,43
"126",28,5,3,9.8,77.8,33
"127",28,5,3,7.1,54.7,23
"128",28,5,3,4.1,26.4,13
"129",29,5,3,21.5,150.5,77
"130",29,5,3,18.1,135.9,67
"131",29,5,3,14.6,120,57
"132",29,5,3,11.5,96,47
"133",29,5,3,7.8,74.2,37
"134",29,5,3,4.4,42.3,27
"135",29,5,3,2.7,17.8,17
"136",30,4,3,25.5,155.2,124
"137",30,4,3,23.8,149.3,114
"138",30,4,3,22.3,142.7,104
"139",30,4,3,21,136.5,94
"140",30,4,3,19.8,131.5,84
"141",30,4,3,18.3,122.8,74
"142",30,4,3,17.3,116.2,64
"143",30,4,3,15.1,104,54
"144",30,4,3,13.2,88.2,44
"145",30,4,3,10.1,72.4,34
"146",30,4,3,7,52.5,24
"147",30,4,3,3.8,30.7,14
"148",31,4,3,34.3,206.5,141
"149",31,4,3,32.5,199.2,131
"150",31,4,3,30.6,191.8,121
"151",31,4,3,28.5,184.9,111
"152",31,4,3,26.1,174.5,101
"153",31,4,3,22.6,164.3,91
"154",31,4,3,19.5,152.1,81
"155",31,4,3,15.7,142.2,71
"156",31,4,3,14.2,127.9,61
"157",31,4,3,11.4,111.6,51
"158",31,4,3,8.6,90.9,41
"159",31,4,3,5.8,65.2,31
"160",31,4,3,4,42.9,21
"161",32,5,3,18.1,103.2,43
"162",32,5,3,13.8,77.3,33
"163",32,5,3,9,58.7,23
"164",32,5,3,4.4,28.1,13
"165",33,2,1,21.5,148.5,72
"166",33,2,1,19.6,134.9,62
"167",33,2,1,17.4,118.5,52
"168",33,2,1,14.5,98.5,42
"169",33,2,1,10.9,78,32
"170",33,2,1,7.2,48.2,22
"171",33,2,1,3,22.2,12
"172",34,1,1,21.7,137,78
"173",34,1,1,19.7,123.9,68
"174",34,1,1,17.8,107.4,58
"175",34,1,1,15.4,89.9,48
"176",34,1,1,12.5,67.8,38
"177",34,1,1,8.9,44.4,28
"178",34,1,1,4.6,22,18
"179",35,5,4,14.2,89.4,54
"180",35,5,4,11.6,79.5,44
"181",35,5,4,8.7,57.3,34
"182",35,5,4,6.3,43,24
"183",35,5,4,3.4,21.1,14
"184",36,5,4,7.1,51.3,44
"185",36,5,4,5.4,39.6,34
"186",36,5,4,3.6,24.9,24
"187",36,5,4,2.2,14.8,14
"188",37,5,4,24.1,143,117
"189",37,5,4,21.6,136.5,107
"190",37,5,4,18.6,128.6,97
"191",37,5,4,16.8,121.2,87
"192",37,5,4,15.2,114.6,77
"193",37,5,4,13.6,101.5,67
"194",37,5,4,11.5,83,57
"195",37,5,4,9.8,69.9,47
"196",37,5,4,7.6,57.3,37
"197",37,5,4,4.5,33.4,27
"198",37,5,4,2.8,20.5,17
"199",37,5,4,0.7,7.5,7
"200",38,2,4,17.1,83.5,71
"201",38,2,4,15.1,76.1,61
"202",38,2,4,13.1,63.9,51
"203",38,2,4,11.7,55.2,41
"204",38,2,4,9.3,45.3,31
"205",38,2,4,5.5,29.3,21
"206",38,2,4,2.7,13.2,11
"207",39,2,5,17.4,104,78
"208",39,2,5,15.8,93.1,68
"209",39,2,5,13.3,69.6,58
"210",39,2,5,11.3,61.6,48
"211",39,2,5,8.7,48.8,38
"212",39,2,5,6.3,28.6,28
"213",39,2,5,5.2,15,18
"214",39,2,5,2.5,8.7,8
"215",40,5,4,13.3,82.9,86
"216",40,5,4,11,69.7,76
"217",40,5,4,8.6,50.2,66
"218",40,5,4,7.7,46.6,56
"219",40,5,4,5.9,36.9,46
"220",40,5,4,4.2,26.3,36
"221",40,5,4,2.9,17.8,26
"222",40,5,4,1.9,11.1,16
"223",41,9,4,23.6,132.1,82
"224",41,9,4,20.5,122.9,72
"225",41,9,4,16.9,109.9,62
"226",41,9,4,14.1,91,52
"227",41,9,4,11.1,74.4,42
"228",41,9,4,8,51.7,32
"229",41,9,4,5.1,34.1,22
"230",41,9,4,2.9,16,12
"231",42,9,5,24.1,130.6,86
"232",42,9,5,20.9,118.2,76
"233",42,9,5,17.1,94,66
"234",42,9,5,15,76.7,56
"235",42,9,5,12.3,72.3,46
"236",42,9,5,8.2,53.2,36
"237",42,9,5,5.4,29.6,26
"238",42,9,5,2.6,13.6,16
"239",43,9,4,12.3,90.3,65
"240",43,9,4,9.9,74.7,55
"241",43,9,4,7.8,52.7,45
"242",43,9,4,6.1,42.3,35
"243",43,9,4,4.2,32.9,25
"244",43,9,4,2.3,17.6,15
"245",44,9,4,25.2,116.4,138
"246",44,9,4,23.2,108.4,128
"247",44,9,4,21.1,100.3,118
"248",44,9,4,20.1,92.7,108
"249",44,9,4,18.9,86.2,98
"250",44,9,4,15.4,74.6,88
"251",44,9,4,12.9,61.7,78
"252",44,9,4,10.1,51.4,68
"253",44,9,4,8.4,44.6,58
"254",44,9,4,5.9,34.1,48
"255",44,9,4,4.4,27,38
"256",45,9,4,17.5,100.6,108
"257",45,9,4,14.8,86.3,98
"258",45,9,4,12.2,68.5,88
"259",45,9,4,11.1,62.2,78
"260",45,9,4,9.2,56.9,68
"261",45,9,4,7,36.6,58
"262",45,9,4,5.7,34.1,48
"263",45,9,4,3.9,26.5,38
"264",45,9,4,2.5,13.8,28
"265",46,9,4,9.4,52.4,39
"266",46,9,4,5.5,30.3,29
"267",46,9,4,2.4,14.7,19
"268",46,9,4,1,8,9
"269",47,9,4,9.4,64.7,44
"270",47,9,4,6.4,48,34
"271",47,9,4,3.6,21.2,24
"272",47,9,4,2.1,8.6,14
"273",48,5,4,22.1,123,107
"274",48,5,4,19.8,114.6,97
"275",48,5,4,17.3,105.9,87
"276",48,5,4,15.7,100.5,77
"277",48,5,4,13.1,91,67
"278",48,5,4,11,79.9,57
"279",48,5,4,8.9,66.1,47
"280",48,5,4,6.7,51,37
"281",48,5,4,4.7,38.3,27
"282",48,5,4,3,22.9,17
"283",49,5,4,17.4,119.1,88
"284",49,5,4,15.1,107.7,78
"285",49,5,4,12.8,94.9,68
"286",49,5,4,10.6,81,58
"287",49,5,4,7.6,57.6,48
"288",49,5,4,5,29,38
"289",49,5,4,2.9,16,28
"290",49,5,4,1.5,10.5,18
"291",50,5,5,10.1,79,44
"292",50,5,5,7.6,60.6,34
"293",50,5,5,4.2,29.5,24
"294",50,5,5,2.5,14.3,14
"295",51,5,5,12.3,73.8,82
"296",51,5,5,10.5,62.7,72
"297",51,5,5,8.2,57.1,62
"298",51,5,5,6.5,38.7,52
"299",51,5,5,4.8,25.7,42
"300",51,5,5,2.7,12.8,32
"301",52,5,4,16.4,116.5,112
"302",52,5,4,15.1,109.8,102
"303",52,5,4,14,103.9,92
"304",52,5,4,12.9,97.3,82
"305",52,5,4,11.7,88.1,72
"306",52,5,4,10.1,72.1,62
"307",52,5,4,8.9,58.9,52
"308",52,5,4,8.1,46.4,42
"309",52,5,4,6.4,36.3,32
"310",52,5,4,4.5,23.8,22
"311",52,5,4,2.3,13.8,12
"312",53,5,5,21.9,103.8,101
"313",53,5,5,19.6,98.1,91
"314",53,5,5,17.3,92.6,81
"315",53,5,5,15.7,87,71
"316",53,5,5,13.7,77.4,61
"317",53,5,5,10.8,65.4,51
"318",53,5,5,8,45.9,41
"319",53,5,5,5.2,26.3,31
"320",53,5,5,2.9,15.6,21
"321",53,5,5,1.2,8.7,11
"322",54,5,3,12.2,97.9,61
"323",54,5,3,10.6,84.6,51
"324",54,5,3,8.2,64,41
"325",54,5,3,5.6,43,31
"326",54,5,3,3.4,26.2,21
"327",54,5,3,1.6,14.9,11
"328",55,5,3,13.2,93,53
"329",55,5,3,10.6,80,43
"330",55,5,3,7.5,54.9,33
"331",55,5,3,5.3,29.9,23
"332",55,5,3,2.9,17,13
"333",56,5,4,14.3,105.8,53
"334",56,5,4,11.8,88.7,43
"335",56,5,4,7.8,67.5,33
"336",56,5,4,5.4,40.9,23
"337",56,5,4,2.9,28.6,13
"338",57,5,5,29.2,147,129
"339",57,5,5,27.6,138.5,119
"340",57,5,5,26.2,128.8,109
"341",57,5,5,25.3,124.3,99
"342",57,5,5,23.3,119.4,89
"343",57,5,5,20.2,108,79
"344",57,5,5,17.8,101.6,69
"345",57,5,5,15.2,95,59
"346",57,5,5,12.2,85.5,49
"347",57,5,5,9.5,70.7,39
"348",57,5,5,7.3,53.5,29
"349",57,5,5,5,33.1,19
"350",57,5,5,2.3,15.3,9
"351",58,5,5,15.1,87,59
"352",58,5,5,10.8,78,49
"353",58,5,5,8.9,61.1,39
"354",58,5,5,7.1,41.8,29
"355",58,5,5,5.1,28.9,19
"356",58,5,5,2.1,13.9,9
"357",59,4,3,26.8,161.7,129
"358",59,4,3,25,154.4,119
"359",59,4,3,22.7,147.2,109
"360",59,4,3,20.6,141.3,99
"361",59,4,3,18.9,135.6,89
"362",59,4,3,16.5,125.3,79
"363",59,4,3,14.7,116.4,69
"364",59,4,3,12.3,99.3,59
"365",59,4,3,10.5,91.1,49
"366",59,4,3,8.1,75.2,39
"367",59,4,3,5.8,52.6,29
"368",59,4,3,4.3,27.8,19
