"","pictureName","date","author","style","genre"
"1","A Corner of the Garden at Montgeron","1877","Claude Monet","Impressionism","landscape"
"2","A Corner of the Studio","1861","Claude Monet","Realism","self-portrait"
"3","A Farmyard in Normandy","1863","Claude Monet","Realism","landscape"
"4","A Windmill near Zaandam","1871","Claude Monet","Impressionism","landscape"
"5","A Woman Reading","1872","Claude Monet","Impressionism","genre painting"
"6","Adolphe Monet Reading in the Garden","1866","Claude Monet","Impressionism","genre painting"
"7","Agapanthus","1917","Claude Monet","Impressionism","flower painting"
"8","Agapanthus Flowers","1917","Claude Monet","Impressionism","flower painting"
"9","Alice Hoschede in the Garden","1881","Claude Monet","Impressionism","portrait"
"10","Alley near Pourville","1882","Claude Monet","Impressionism","landscape"
"11","Amsterdam in the Snow","1874","Claude Monet","Impressionism","cityscape"
"12","An Orchard in Spring","1886","Claude Monet","Impressionism","landscape"
"13","Andre Lauvray","1880","Claude Monet","Impressionism","portrait"
"14","Anglers on the Seine at Poissy","1882","Claude Monet","Impressionism","genre painting"
"15","Antibes - View of the Salis Gardens","1888","Claude Monet","Impressionism","landscape"
"16","Antibes Seen from the Cape, Mistral Wind","1888","Claude Monet","Impressionism","landscape"
"17","Antibes Seen from the Salis Gardens 01","1888","Claude Monet","Impressionism","landscape"
"18","Antibes Seen from the Salis Gardens 02","1888","Claude Monet","Impressionism","landscape"
"19","Antibes in the Morning","1888","Claude Monet","Impressionism","landscape"
"20","Antibes, Afternoon Effect","1888","Claude Monet","Impressionism","landscape"
"21","Apple Trees in Bloom","1873","Claude Monet","Impressionism","landscape"
"22","Apple Trees in Bloom at Giverny","1901","Claude Monet","Impressionism","landscape"
"23","Apple Trees in Blossom by the Water","1880","Claude Monet","Impressionism","landscape"
"24","Apple Trees near Vetheuil","1878","Claude Monet","Impressionism","landscape"
"25","Apple Trees on the Chantemesle Hill","1878","Claude Monet","Impressionism","landscape"
"26","Argenteuil","1872","Claude Monet","Impressionism","landscape"
"27","Argenteuil","1875","Claude Monet","Impressionism","landscape"
"28","Argenteuil","1875","Claude Monet","Impressionism","landscape"
"29","Argenteuil","1872","Claude Monet","Impressionism","landscape"
"30","Argenteuil Bridge","1874","Claude Monet","Impressionism","cityscape"
"31","Argenteuil Seen from the Small Arm of the Seine","1872","Claude Monet","Impressionism","landscape"
"32","Argenteuil, Flowers by the Riverbank","1877","Claude Monet","Impressionism","landscape"
"33","Argenteuil, Late Afternoon","1872","Claude Monet","Impressionism","landscape"
"34","Argenteuil, Seen from the Small Arm of the Seine","1872","Claude Monet","Impressionism","landscape"
"35","Argenteuil, The Seine","1872","Claude Monet","Impressionism","landscape"
"36","Argenteuil, the Hospice","1872","Claude Monet","Impressionism","cityscape"
"37","Argenteuil. Yachts 02","1875","Claude Monet","Impressionism","landscape"
"38","Arm of the Seine near Vetheuil","1878","Claude Monet","Impressionism","landscape"
"39","Arriving at Montegeron","1876","Claude Monet","Impressionism","landscape"
"40","Asters","1880","Claude Monet","Impressionism","flower painting"
"41","At Cap d'Antibes","1888","Claude Monet","Impressionism","landscape"
"42","At Cap d'Antibes, Mistral Wind","1888","Claude Monet","Impressionism","landscape"
"43","At Les Petit-Dalles","1884","Claude Monet","Impressionism","landscape"
"44","At Val Saint-Nicolas near Dieppe, Morning","1897","Claude Monet","Impressionism","landscape"
"45","At Val Saint-Nicolas, near Dieppe","1897","Claude Monet","Impressionism","landscape"
"46","At Val-Saint-Nicolas near Dieppe in the Morning","1897","Claude Monet","Impressionism","landscape"
"47","At the Meadow, Vetheuil","1888","Claude Monet","Impressionism","landscape"
"48","Autumn Effect at Argenteuil","1873","Claude Monet","Impressionism","landscape"
"49","Autumn on the Seine at Argenteuil","1873","Claude Monet","Impressionism","landscape"
"50","Banks of the Seine at Jenfosse - Clear Weather","1884","Claude Monet","Impressionism","landscape"
"51","Banks of the Seine at Jeufosse, Autumn","1884","Claude Monet","Impressionism","landscape"
"52","Banks of the Seine at Lavacourt","1878","Claude Monet","Impressionism","landscape"
"53","Basket of Graphes, Quinces and Pears","1885","Claude Monet","Impressionism","still life"
