biaoti,sort,sdate,link
你认为旅行车能否接替SUV热？,新闻,2017-12-31,http://survey.news.sina.com.cn/survey.php?id=117428&dpc=1
2017你最关注的是哪一类车型,新闻,2017-12-31,http://survey.news.sina.com.cn/survey.php?id=117427&dpc=1
2017一年里你认为最强势的是哪一系的品牌,新闻,2017-12-30,http://survey.news.sina.com.cn/survey.php?id=117426&dpc=1
H股全流通小调查,财经,2017-12-29,http://survey.finance.sina.com.cn/survey.php?id=117425&dpc=1
央行临时准备金动用安排,财经,2017-12-29,http://survey.finance.sina.com.cn/survey.php?id=117421&dpc=1
您是否满意苹果对iPhone降频事件的处理方式,科技,2017-12-29,http://survey.tech.sina.com.cn/survey.php?id=117419&dpc=1
资管增值税开征影响几何？,财经,2017-12-29,http://survey.finance.sina.com.cn/survey.php?id=117418&dpc=1
美团开始做打车业务，你怎么看？,科技,2017-12-28,http://survey.tech.sina.com.cn/survey.php?id=117417&dpc=1
聚焦新日恒力与院士之子纷争升级,财经,2017-12-28,http://survey.finance.sina.com.cn/survey.php?id=117416&dpc=1
2017基金收益小调查,财经,2017-12-28,http://survey.finance.sina.com.cn/survey.php?id=117415&dpc=1
聚焦顾雏军告赢证监会,财经,2017-12-28,http://survey.finance.sina.com.cn/survey.php?id=117413&dpc=1
新能源汽车免征车辆购置税延至2020年,财经,2017-12-27,http://survey.finance.sina.com.cn/survey.php?id=117411&dpc=1
你认为以第三代飞度的本事是否能被称为超跑GK5,新闻,2017-12-27,http://survey.news.sina.com.cn/survey.php?id=117410&dpc=1
众多版本的改款飞度，你更喜欢哪一版,新闻,2017-12-27,http://survey.news.sina.com.cn/survey.php?id=117409&dpc=1
2018年，您看好哪些商品期货？,财经,2017-12-27,http://survey.finance.sina.com.cn/survey.php?id=117407&dpc=1
泰禾集团:2000亿元目标属董事长个人愿景 不构成承诺,财经,2017-12-26,http://survey.finance.sina.com.cn/survey.php?id=117406&dpc=1
你会选择凯美瑞普通版、运动版还是混动版,新闻,2017-12-26,http://survey.news.sina.com.cn/survey.php?id=117405&dpc=1
你想过五星级酒店可能存在卫生问题吗？,财经,2017-12-26,http://survey.finance.sina.com.cn/survey.php?id=117404&dpc=1
新浪电影2018年1月新片期待度调查,娱乐,2017-12-26,http://survey.ent.sina.com.cn/survey.php?id=117403&dpc=1
消息传长江证券总裁邓晖被董事会罢免,财经,2017-12-26,http://survey.finance.sina.com.cn/survey.php?id=117402&dpc=1
泰禾集团信披违规,财经,2017-12-25,http://survey.finance.sina.com.cn/survey.php?id=117401&dpc=1
华西村被曝负债389亿元，你怎么看？,财经,2017-12-25,http://survey.finance.sina.com.cn/survey.php?id=117400&dpc=1
你认为新款迈腾改款是否有诚意,新闻,2017-12-25,http://survey.news.sina.com.cn/survey.php?id=117399&dpc=1
紫光集团买买买,财经,2017-12-25,http://survey.finance.sina.com.cn/survey.php?id=117398&dpc=1
2017投资收益调查,财经,2017-12-25,http://survey.finance.sina.com.cn/survey.php?id=117397&dpc=1
2018股民大调查,财经,2017-12-25,http://survey.finance.sina.com.cn/survey.php?id=117396&dpc=1
分贝筹诈捐？,财经,2017-12-25,http://survey.finance.sina.com.cn/survey.php?id=117395&dpc=1
聚焦新三板分层与交易制度改革,财经,2017-12-22,http://survey.finance.sina.com.cn/survey.php?id=117394&dpc=1
如很看待宝能入股观致？,新闻,2017-12-22,http://survey.news.sina.com.cn/survey.php?id=117393&dpc=1
您如何看待足协新政？,体育,2017-12-22,http://survey.sports.sina.com.cn/survey.php?id=117392&dpc=1
为防止自动关机苹果给旧iPhone降频 你怎么看？,科技,2017-12-22,http://survey.tech.sina.com.cn/survey.php?id=117391&dpc=1
聚焦紫光控股举牌联想控股,财经,2017-12-22,http://survey.finance.sina.com.cn/survey.php?id=117390&dpc=1
聚焦小盘股流动性危机,财经,2017-12-21,http://survey.finance.sina.com.cn/survey.php?id=117389&dpc=1
你是否支持2018年新能源补贴取消？,新闻,2017-12-21,http://survey.news.sina.com.cn/survey.php?id=117388&dpc=1
对于睿骋CC呼吸灯+飞屏互动你怎么看,新闻,2017-12-21,http://survey.news.sina.com.cn/survey.php?id=117387&dpc=1
你认为长安新一代4.0产品能否大卖,新闻,2017-12-21,http://survey.news.sina.com.cn/survey.php?id=117386&dpc=1
你觉得全新国产XC60价格合适吗,新闻,2017-12-20,http://survey.news.sina.com.cn/survey.php?id=117385&dpc=1
你对XC60换代后的变化满意吗,新闻,2017-12-20,http://survey.news.sina.com.cn/survey.php?id=117384&dpc=1
你觉得康宏环球股价走势会如何？,财经,2017-12-19,http://survey.finance.sina.com.cn/survey.php?id=117383&dpc=1
在线买机票你愿意被搭售还是交服务费？,财经,2017-12-19,http://survey.finance.sina.com.cn/survey.php?id=117382&dpc=1
你认为捷豹Ingenium 2.0T引擎如何,新闻,2017-12-19,http://survey.news.sina.com.cn/survey.php?id=117381&dpc=1
捷豹进口和国产车型，你会选择谁,新闻,2017-12-19,http://survey.news.sina.com.cn/survey.php?id=117380&dpc=1
你是否支持摩拜与ofo合并？,科技,2017-12-19,http://survey.tech.sina.com.cn/survey.php?id=117379&dpc=1
你认为蔚来ES8能否大卖,新闻,2017-12-18,http://survey.news.sina.com.cn/survey.php?id=117378&dpc=1
腾讯京东投资唯品会，能竞争得过阿里吗？,财经,2017-12-18,http://survey.finance.sina.com.cn/survey.php?id=117376&dpc=1
你认为中兴是否应该对员工坠楼负责？,财经,2017-12-18,http://survey.finance.sina.com.cn/survey.php?id=117375&dpc=1
如果你在北上深等城市，是否会购买新能源车,新闻,2017-12-18,http://survey.news.sina.com.cn/survey.php?id=117374&dpc=1
中科招商遭强制摘牌 何去何从投资者咋办？,财经,2017-12-18,http://survey.finance.sina.com.cn/survey.php?id=117373&dpc=1
东亚杯国足最终排名第3您满意么?是否达到练兵效果？,体育,2017-12-16,http://survey.sports.sina.com.cn/survey.php?id=117372&dpc=1
宣亚国际小调查,财经,2017-12-15,http://survey.finance.sina.com.cn/survey.php?id=117371&dpc=1
港股改革大调查,财经,2017-12-15,http://survey.finance.sina.com.cn/survey.php?id=117370&dpc=1
你认为后面皇冠再换代能够超越经典第十二代吗,新闻,2017-12-15,http://survey.news.sina.com.cn/survey.php?id=117369&dpc=1
如果在H6和H6 Coupe之间选的话，你会选谁,新闻,2017-12-14,http://survey.news.sina.com.cn/survey.php?id=117368&dpc=1
对于新H6 Coupe年轻化的风格你怎么看,新闻,2017-12-14,http://survey.news.sina.com.cn/survey.php?id=117367&dpc=1
2018考研你来说,教育,2017-12-14,http://survey.edu.sina.com.cn/survey.php?id=117366&dpc=1
ST生化原控股股东“出局”启示录,财经,2017-12-14,http://survey.finance.sina.com.cn/survey.php?id=117365&dpc=1
自愿加班无须支付加班费，你怎么看？,财经,2017-12-13,http://survey.finance.sina.com.cn/survey.php?id=117364&dpc=1
如果你购买君越，是否会选择Avenir版本,新闻,2017-12-13,http://survey.news.sina.com.cn/survey.php?id=117363&dpc=1
2018款别克君越的升级你是否满意,新闻,2017-12-13,http://survey.news.sina.com.cn/survey.php?id=117362&dpc=1
聚焦三只松鼠IPO被取消审核,财经,2017-12-13,http://survey.finance.sina.com.cn/survey.php?id=117361&dpc=1
中科招商清仓式减持，您怎么看？,财经,2017-12-13,http://survey.finance.sina.com.cn/survey.php?id=117360&dpc=1
国足东亚杯平韩国负日本表现是否合格?末战能否击败朝鲜?,体育,2017-12-12,http://survey.sports.sina.com.cn/survey.php?id=117359&dpc=1
水滴直播被质疑侵犯隐私权，你认为平台是否应担责？,科技,2017-12-12,http://survey.tech.sina.com.cn/survey.php?id=117358&dpc=1
荣威360 PLUS加量不加价你觉得如何,新闻,2017-12-12,http://survey.news.sina.com.cn/survey.php?id=117357&dpc=1
你怎么看待自如频频出现“甲醛房”问题？,财经,2017-12-12,http://survey.finance.sina.com.cn/survey.php?id=117356&dpc=1
法国乳业巨头陷沙门氏菌危机，今后你还会买吗？,财经,2017-12-12,http://survey.finance.sina.com.cn/survey.php?id=117355&dpc=1
2018年港股投资意愿调查,财经,2017-12-12,http://survey.finance.sina.com.cn/survey.php?id=117354&dpc=1
您如何看待佩雷拉入主上港?您看好上港下赛季的前景么？,体育,2017-12-12,http://survey.sports.sina.com.cn/survey.php?id=117352&dpc=1
比特币期货上市小调查,财经,2017-12-12,http://survey.finance.sina.com.cn/survey.php?id=117351&dpc=1
2017年股民调查,财经,2017-12-11,http://survey.finance.sina.com.cn/survey.php?id=117350&dpc=1
您今年投资收益为多少?,财经,2017-12-11,http://survey.finance.sina.com.cn/survey.php?id=117349&dpc=1
相比于老款，XC60的换代升级你满意吗,新闻,2017-12-11,http://survey.news.sina.com.cn/survey.php?id=117348&dpc=1
你认为国产版本的全新XC60起售价多少合适,新闻,2017-12-11,http://survey.news.sina.com.cn/survey.php?id=117347&dpc=1
